Longitude,Latitude,Magnitude,Time,Timestamp,Week,Location
104.65,28.15,3.8,28/12/2018 16:21,1545985268,117,四川宜宾市筠连县
104.86,28.2,5.3,3/01/2019 8:48,1546476486,118,四川宜宾市珙县
100.23,26.09,3.5,8/01/2019 1:15,1546881336,119,云南大理州鹤庆县
99.38,28.49,3.6,8/01/2019 8:49,1546908564,119,四川甘孜州得荣县
102.27,31.77,3.8,11/01/2019 17:49,1547200190,119,四川阿坝州马尔康市
98.47,31.37,3.8,1/02/2019 12:12,1548994349,122,西藏昌都市江达县
100.93,27.11,4.1,2/02/2019 5:26,1549056366,122,云南丽江市宁蒗县
102.38,29.04,3.6,8/02/2019 18:00,1549620045,123,四川雅安市石棉县
104.49,29.47,4.7,24/02/2019 5:38,1550957890,125,四川自贡市荣县
104.5,29.46,4.3,25/02/2019 8:40,1551055226,126,四川自贡市荣县
104.49,29.48,4.9,25/02/2019 13:15,1551071759,126,四川自贡市荣县
99.31,23.94,4.4,8/03/2019 3:37,1551987439,127,云南临沧市永德县
103.01,30.43,4.5,2/05/2019 15:57,1556783878,135,四川雅安市芦山县
103.53,28.07,4.7,16/05/2019 4:33,1557952411,137,云南昭通市永善县
103.63,28.11,4.1,5/06/2019 15:26,1559719615,140,云南昭通市永善县
103.75,33.33,3.6,16/06/2019 20:51,1560689473,141,四川阿坝州九寨沟县
104.9,28.34,6,17/06/2019 22:55,1560783343,142,四川宜宾市长宁县
104.84,28.39,3.6,17/06/2019 23:09,1560784141,142,四川宜宾市长宁县
104.77,28.43,5.1,17/06/2019 23:36,1560785761,142,四川宜宾市珙县
104.85,28.39,4.1,18/06/2019 0:29,1560788947,142,四川宜宾市长宁县
104.87,28.39,4.2,18/06/2019 0:37,1560789475,142,四川宜宾市长宁县
104.92,28.39,3.8,18/06/2019 0:39,1560789551,142,四川宜宾市长宁县
104.87,28.38,4.5,18/06/2019 5:03,1560805405,142,四川宜宾市长宁县
104.79,28.41,3.9,18/06/2019 5:04,1560805443,142,四川宜宾市珙县
104.81,28.4,3.8,18/06/2019 5:49,1560808154,142,四川宜宾市珙县
104.89,28.37,5.3,18/06/2019 7:34,1560814473,142,四川宜宾市长宁县
104.8,28.39,3.7,18/06/2019 8:14,1560816892,142,四川宜宾市珙县
104.75,28.43,3.7,18/06/2019 14:38,1560839915,142,四川宜宾市长宁县
104.75,28.41,3.7,20/06/2019 22:01,1561039276,142,四川宜宾市珙县
104.78,28.43,3.6,21/06/2019 15:09,1561100995,142,四川宜宾市珙县
104.83,28.37,3.6,22/06/2019 20:30,1561206626,142,四川宜宾市珙县
104.77,28.43,5.4,22/06/2019 22:29,1561213796,142,四川宜宾市珙县
104.82,28.39,4.6,23/06/2019 8:28,1561249697,142,四川宜宾市珙县
104.83,28.37,3.8,24/06/2019 7:34,1561332898,143,四川宜宾市珙县
104.8,28.44,4.1,24/06/2019 9:23,1561339395,143,四川宜宾市长宁县
101.67,24.98,4.7,24/06/2019 21:24,1561382661,143,云南楚雄州楚雄市
104.93,28.21,3.9,27/06/2019 16:01,1561622479,143,四川宜宾市兴文县
104.85,28.4,4.8,3/07/2019 12:26,1562128013,144,四川宜宾市长宁县
104.74,28.41,5.6,4/07/2019 10:17,1562206678,144,四川宜宾市珙县
100.62,26.16,4.9,21/07/2019 20:23,1563711808,146,云南丽江市永胜县
104.91,28.35,4.1,22/07/2019 16:26,1563783996,147,四川宜宾市长宁县
104.74,28.17,3.8,30/07/2019 1:04,1564419874,148,四川宜宾市珙县
104.87,28.36,4.1,13/08/2019 6:31,1565649113,150,四川宜宾市长宁县
101.99,23.34,3.9,31/08/2019 6:24,1567203894,152,云南玉溪市元江县
104.8,28.44,3.9,6/09/2019 15:25,1567754733,153,四川宜宾市长宁县
104.79,29.55,5.4,8/09/2019 6:42,1567896133,153,四川内江市威远县
104.53,29.51,4.3,8/09/2019 10:36,1567910182,153,四川内江市威远县
104.49,29.51,4,10/09/2019 1:27,1568050063,154,四川自贡市荣县
104.78,28.41,4,12/09/2019 20:17,1568290673,154,四川宜宾市珙县
102.23,28.26,3.5,21/09/2019 0:33,1568997189,155,四川凉山州冕宁县
100.39,30.61,3.9,1/10/2019 4:51,1569876713,157,四川甘孜州新龙县
99.03,24.57,3.5,15/10/2019 1:23,1571073835,159,云南保山市龙陵县
104.94,28.32,3.7,21/10/2019 8:25,1571617537,160,四川宜宾市长宁县
102.35,29.07,3.6,31/10/2019 16:03,1572509014,161,四川雅安市石棉县
102.77,24.39,3.5,1/11/2019 3:37,1572550643,161,云南玉溪市江川区
104.99,28.17,4.1,10/11/2019 6:46,1573339611,162,四川宜宾市兴文县
100.61,28.23,3.9,19/11/2019 4:14,1574108056,164,四川凉山州木里县
99.7,25.97,4.3,25/11/2019 1:02,1574614955,165,云南大理州洱源县
104.95,28.35,4,27/11/2019 21:03,1574859782,165,四川宜宾市长宁县
100.93,27.64,3.6,30/11/2019 23:58,1575129531,165,四川凉山州盐源县
104.25,31.56,4.6,9/12/2019 15:20,1575876057,167,四川绵阳市安州区
104.82,29.59,5.2,18/12/2019 8:14,1576628045,168,四川内江市资中县
105,32.28,3.7,27/12/2019 3:24,1577388296,169,四川广元市青川县
104.88,28.43,3.8,29/12/2019 8:47,1577580432,169,四川宜宾市长宁县
105.01,29.02,4.3,1/01/2020 11:01,1577847717,170,四川自贡市富顺县
104.93,28.21,4.1,8/01/2020 1:09,1578416977,171,四川宜宾市兴文县
103.11,25.54,4.2,15/01/2020 19:34,1579088065,172,云南昆明市寻甸县
103.13,31.66,4.5,22/01/2020 15:08,1579676913,173,四川阿坝州理县
101.9,23.35,3.5,23/01/2020 5:26,1579728383,173,云南红河州红河县
104.46,30.74,5.1,3/02/2020 0:05,1580659541,175,四川成都市青白江区
104.73,28.48,3.9,3/02/2020 23:55,1580745351,175,四川宜宾市珙县
104.5,29.48,4.4,16/02/2020 4:28,1581798499,176,四川自贡市荣县
103.51,28.09,3.9,28/02/2020 7:56,1582847777,178,云南昭通市永善县
105.39,32.62,3.9,6/03/2020 11:34,1583465684,179,四川广元市青川县
104.99,28.67,3.6,17/03/2020 10:30,1584412237,181,四川宜宾市长宁县
103.05,27.1,3.6,18/03/2020 16:43,1584521021,181,云南昭通市巧家县
101.93,23.73,3.5,11/04/2020 4:03,1586548986,184,云南玉溪市元江县
104.84,28.42,4.1,23/04/2020 17:04,1587632680,186,四川宜宾市长宁县
104.74,28.17,3.6,10/05/2020 15:42,1589096548,188,四川宜宾市珙县
103.16,27.18,5,18/05/2020 21:47,1589809679,190,云南昭通市巧家县
103.16,27.18,3.5,19/05/2020 4:35,1589834153,190,云南昭通市巧家县
104.74,28.18,3.8,22/05/2020 3:12,1590088370,190,四川宜宾市珙县
103.63,29,3.8,26/05/2020 20:34,1590496490,191,四川乐山市马边县
98.43,23.82,4.3,2/06/2020 9:44,1591062248,192,缅甸
100.86,31.18,3.6,3/06/2020 2:57,1591124276,192,四川甘孜州炉霍县
104.73,28.19,4,12/06/2020 21:03,1591967019,193,四川宜宾市珙县
102.62,22.51,4.7,16/06/2020 14:12,1592287946,194,越南
104.75,28.17,3.8,23/06/2020 22:12,1592921542,195,四川宜宾市珙县
104.77,28.17,3.7,30/06/2020 1:55,1593453308,196,四川宜宾市珙县
104.63,27.16,4.5,2/07/2020 11:11,1593659495,196,贵州毕节市赫章县
103.13,26.02,4.2,8/07/2020 10:39,1594175999,197,云南昆明市东川区
102.53,22.89,4.4,12/07/2020 13:21,1594531316,197,云南红河州绿春县
102.92,33.59,4,12/07/2020 15:03,1594537406,197,四川阿坝州若尔盖县
99.21,24.95,3.7,31/07/2020 3:28,1596137316,200,云南保山市隆阳区
101.6,23.41,3.5,1/08/2020 6:53,1596236033,200,云南普洱市墨江县
104.85,28.41,3.9,6/08/2020 17:08,1596704893,201,四川宜宾市长宁县
105.06,28.16,3.8,11/08/2020 13:41,1597124508,202,四川宜宾市兴文县
103.08,27.12,3.8,8/09/2020 13:30,1599543013,206,云南昭通市巧家县
104.79,28.4,3.6,16/09/2020 15:03,1600239788,207,四川宜宾市珙县
105.05,28.1,3.8,26/09/2020 4:34,1601066049,208,云南昭通市威信县
104.17,28.07,3.5,30/09/2020 2:49,1601405351,209,云南昭通市盐津县
104.17,31.84,4.6,21/10/2020 12:04,1603253087,212,四川绵阳市北川县
104.18,31.83,4.7,22/10/2020 11:03,1603335817,212,四川绵阳市北川县
104.19,31.85,3.6,25/10/2020 2:04,1603562673,212,四川绵阳市北川县
104.53,29.52,3.6,28/10/2020 11:54,1603857271,213,四川内江市威远县
105.18,32.08,3.6,31/10/2020 14:38,1604126288,213,四川绵阳市江油市
104.73,28.17,4.1,13/11/2020 3:18,1605208692,215,四川宜宾市珙县
98.48,24.5,3.6,21/11/2020 22:04,1605967486,216,云南德宏州芒市
104.45,33.83,3.9,28/12/2020 20:46,1609159568,222,甘肃陇南市宕昌县
